Title,Rating,Reviews,Phone,Industry,Address,Website,Google Maps Link
"Hotel Grand","4.0","1,308","+92 91 5844353","Add a label","University Rd, Tehkal, Peshawar, Khyber Pakhtunkhwa 25000, Pakistan","http://www.hotelgrand.com.pk","https://www.google.com/maps/place/Hotel+Grand/data=!4m10!3m9!1s0x38d9171c7363770b:0xab54457e55194210!5m2!4m1!1i2!8m2!3d34.0072958!4d71.5091808!16s%2Fg%2F1vppqxdm!19sChIJC3djcxwX2TgREEIZVX5FVKs?authuser=0&hl=en&rclk=1"
"Shelton's Accommodator Peshawar","4.1","757","+92 91 5846627","Add a label","1 Rehman Baba Rd, University Town, Peshawar, Khyber Pakhtunkhwa, Pakistan","","https://www.google.com/maps/place/Shelton%27s+Accommodator+Peshawar/data=!4m10!3m9!1s0x38d91715f1823661:0x393e99d7368c3e4c!5m2!4m1!1i2!8m2!3d33.9974149!4d71.501471!16s%2Fg%2F11clyt55gy!19sChIJYTaC8RUX2TgRTD6MNteZPjk?authuser=0&hl=en&rclk=1"
"Shelton Rezidor House Peshawar","4.2","544","+92 91 5702013","Add a label","77E Rehman Baba Rd, University Town, Peshawar, Khyber Pakhtunkhwa 25000, Pakistan","","https://www.google.com/maps/place/Shelton+Rezidor+House+Peshawar/data=!4m10!3m9!1s0x38d91715354992d1:0x6cd78b178c05ec4b!5m2!4m1!1i2!8m2!3d33.9969468!4d71.5017702!16s%2Fg%2F11h7q3rbrq!19sChIJ0ZJJNRUX2TgRS-wFjBeL12w?authuser=0&hl=en&rclk=1"
"The Exclusive House","4.0","246","+92 335 5870333","Add a label","No 5C (I, House, 3 Abdara Rd, Peshawar, Pakistan","","https://www.google.com/maps/place/The+Exclusive+House/data=!4m10!3m9!1s0x38d91774296464ff:0x89069eae21f83d5f!5m2!4m1!1i2!8m2!3d33.9926354!4d71.5008253!16s%2Fg%2F11fhqrcf7q!19sChIJ_2RkKXQX2TgRXz34Ia6eBok?authuser=0&hl=en&rclk=1"
"MARCOPOLO Hotel","4.0","277","+92 91 5612125","Hotel","Phase 3 Chowk, Hayatabad, Jamrud Road, Regi Lalma, Peshawar, Khyber Pakhtunkhwa 25000, Pakistan","","https://www.google.com/maps/place/MARCOPOLO+Hotel/data=!4m7!3m6!1s0x38d910dc8ff7eda5:0xe721f7ff6fef0501!8m2!3d33.9969546!4d71.4595775!16s%2Fg%2F11xk3wdxf!19sChIJpe33j9wQ2TgRAQXvb__3Iec?authuser=0&hl=en&rclk=1"
"Hotel Gateway","4.1","108","","Add a label","Arbab Niaz Plaza, Hotel Gateway, near police Public School, Shāheen Town Shaheen Town, Peshawar, Khyber Pakhtunkhwa 25124, Pakistan","","https://www.google.com/maps/place/Hotel+Gateway/data=!4m10!3m9!1s0x38d910d069ea1fe1:0x1ad568ffe0e67e8a!5m2!4m1!1i2!8m2!3d33.9967685!4d71.4669292!16s%2Fg%2F11dd_nrq59!19sChIJ4R_qadAQ2TgRin7m4P9o1Ro?authuser=0&hl=en&rclk=1"
"Hotel Luxury Palace Peshawar","4.6","202","+92 300 9011113","Add a label","Luxury Palace, Old Bara Rd, University Town, Peshawar, Khyber Pakhtunkhwa 25000, Pakistan","","https://www.google.com/maps/place/Hotel+Luxury+Palace+Peshawar/data=!4m10!3m9!1s0x38d9177b7d413a6f:0x239b8889276969a8!5m2!4m1!1i2!8m2!3d33.9948471!4d71.5072641!16s%2Fg%2F11sx0vjtzg!19sChIJbzpBfXsX2TgRqGlpJ4mImyM?authuser=0&hl=en&rclk=1"
"Crown Castle Peshawar","4.5","213","+92 91 5840044","Add a label","House 78/E, Rehman Baba Rd, University Town, Peshawar, Khyber Pakhtunkhwa 25000, Pakistan","","https://www.google.com/maps/place/Crown+Castle+Peshawar/data=!4m10!3m9!1s0x38d917db920e2315:0xa47442cd18cad9d1!5m2!4m1!1i2!8m2!3d33.9966134!4d71.5019584!16s%2Fg%2F11rvdd56x7!19sChIJFSMOktsX2TgR0dnKGM1CdKQ?authuser=0&hl=en&rclk=1"
"Shelton Guest House Peshawar","4.2","1,155","+92 91 5842595","Add a label","71 Abdara Rd, University Town, Peshawar, Khyber Pakhtunkhwa 25000, Pakistan","https://sheltonhotels.com","https://www.google.com/maps/place/Shelton+Guest+House+Peshawar/data=!4m10!3m9!1s0x38d9173df85eec63:0xe3acd0c39d24c1ee!5m2!4m1!1i2!8m2!3d33.9958229!4d71.5011706!16s%2Fg%2F1tmqpr78!19sChIJY-xe-D0X2TgR7sEkncPQrOM?authuser=0&hl=en&rclk=1"
"Fort Continental Hotel Peshawar","4.1","2,186","+92 91 2552201","Add a label","Firdos Chowk, Grand Trunk Rd, Hashtnagri, Peshawar, Khyber Pakhtunkhwa, Pakistan","http://www.fortcontinentalhotel.com","https://www.google.com/maps/place/Fort+Continental+Hotel+Peshawar/data=!4m10!3m9!1s0x38d93d7d9f96c6bf:0x892938b27d189c40!5m2!4m1!1i2!8m2!3d34.0149375!4d71.5736676!16s%2Fg%2F11dx8lm0s3!19sChIJv8aWn3092TgRQJwYfbI4KYk?authuser=0&hl=en&rclk=1"
"PEARL CITY HOTEL","4.0","494","+92 91 2584513","Add a label","Grand Trunk Rd, Sikander Town Sikandar Town, Peshawar, Khyber Pakhtunkhwa, Pakistan","","https://www.google.com/maps/place/PEARL+CITY+HOTEL/data=!4m10!3m9!1s0x38d93dd16816505d:0x846fd17a60d95a52!5m2!4m1!1i2!8m2!3d34.0161781!4d71.5965755!16s%2Fg%2F11hz1c3rpz!19sChIJXVAWaNE92TgRUlrZYHrRb4Q?authuser=0&hl=en&rclk=1"
